date,equity,positions
2020-08-28,100000.0,0
2020-08-31,100000.0,0
2020-09-01,102176.30331903927,10
2020-09-02,102320.37470861814,10
2020-09-03,97504.21927813374,7
2020-09-04,97238.16256764348,4
2020-09-08,96694.71090638213,4
2020-09-09,97641.62202329867,4
2020-09-10,97235.39749189722,4
2020-09-11,98235.75539480166,4
2020-09-14,98903.09720474089,4
2020-09-15,98981.51054066858,10
2020-09-16,99696.06948345657,10
2020-09-17,98925.89734447884,10
2020-09-18,98613.9716078683,10
2020-09-21,96583.50684630664,8
2020-09-22,98180.52710410571,10
2020-09-23,95368.16413497654,10
2020-09-24,96126.95914073658,10
2020-09-25,97107.83692289263,10
2020-09-28,99680.19613797206,10
2020-09-29,99474.11305029684,10
2020-09-30,100302.82810352625,10
2020-10-01,101495.58958437771,10
2020-10-02,101823.53312134287,10
2020-10-05,103420.15775200397,10
2020-10-06,102593.44042874807,10
2020-10-07,104252.2977214509,10
2020-10-08,105170.9545632451,10
2020-10-09,106093.80876213207,9
2020-10-12,106136.56024344069,9
2020-10-13,106300.87795950018,10
2020-10-14,106393.15657458147,10
2020-10-15,106718.71836220012,10
2020-10-16,106649.75833039654,9
2020-10-19,105473.20906229975,9
2020-10-20,106297.01005677391,10
2020-10-21,105038.28854804698,10
2020-10-22,104976.28199268563,10
2020-10-23,105342.22130684688,10
2020-10-26,102439.70828080983,9
2020-10-27,101888.03890875554,10
2020-10-28,98537.8964171656,7
2020-10-29,98783.15535293463,6
2020-10-30,98147.32983662303,6
2020-11-02,99444.36013478693,6
2020-11-03,100307.07391876406,10
2020-11-04,101106.0160089415,10
2020-11-05,105722.71542303762,10
2020-11-06,105960.92100898306,10
2020-11-09,104113.52384057983,9
2020-11-10,104013.63585626017,10
2020-11-11,105206.8536335608,10
2020-11-12,103876.55226805795,10
2020-11-13,105585.07331540866,10
2020-11-16,106845.61885712293,9
2020-11-17,106411.14765328538,10
2020-11-18,106173.73399005088,9
2020-11-19,107088.03285500838,9
2020-11-20,107225.66025991159,9
2020-11-23,108516.27836778505,9
2020-11-24,109256.24226342756,10
2020-11-25,109610.44045003074,10
2020-11-27,109950.64888641212,10
2020-11-30,109022.82782543109,10
2020-12-01,109247.86003953764,10
2020-12-02,109008.59715485605,10
2020-12-03,109064.8213614634,10
2020-12-04,109953.00561005794,10
2020-12-07,110470.40629719789,10
2020-12-08,110654.87893141896,10
2020-12-09,109839.6384910252,10
2020-12-10,110486.96068515166,10
2020-12-11,109914.77350281502,10
2020-12-14,109264.20682342461,10
2020-12-15,110599.83598545467,10
2020-12-16,110459.82232021738,10
2020-12-17,111696.75233386629,9
2020-12-18,111916.71437073554,8
2020-12-21,112568.6255954293,8
2020-12-22,112678.75905250474,10
2020-12-23,112751.37350894118,10
2020-12-24,112946.24321245393,10
2020-12-28,112447.56586844684,10
2020-12-29,111449.69814425004,10
2020-12-30,112619.09022613663,9
2020-12-31,113115.94771672993,9
2021-01-04,111727.87652149006,9
2021-01-05,113540.40810003929,10
2021-01-06,115398.36682930397,9
2021-01-07,117445.2216679551,9
2021-01-08,117449.10132398647,9
2021-01-11,117588.46069818757,9
2021-01-12,118410.83679540746,10
2021-01-13,118643.08244509931,9
2021-01-14,119560.90113984083,9
2021-01-15,118330.06510393039,9
2021-01-19,119893.90349588497,9
2021-01-20,120415.53849052795,8
2021-01-21,120553.1997272188,8
2021-01-22,120250.62169477117,7
2021-01-25,119889.79929647215,7
2021-01-26,119011.05266735572,10
2021-01-27,116796.14418662945,7
2021-01-28,117939.44149460818,7
2021-01-29,115983.09748544211,7
2021-02-01,117081.89916899905,7
2021-02-02,117499.93363806186,10
2021-02-03,117667.08266275594,10
2021-02-04,119915.68874880688,10
2021-02-05,120151.96502490439,10
2021-02-08,122293.13108168473,10
2021-02-09,122983.39742282954,10
2021-02-10,122421.87207902345,10
2021-02-11,123309.76833869079,8
2021-02-12,124266.40927626623,8
2021-02-16,124339.85785221709,8
2021-02-17,122820.4825996607,7
2021-02-18,121885.6855511535,7
2021-02-19,123680.12058083052,7
2021-02-22,122925.79777533855,7
2021-02-23,123259.36891057534,10
2021-02-24,126439.1965481101,10
2021-02-25,120438.75796019766,10
2021-02-26,121618.42328325432,10
2021-03-01,125812.5069139332,9
2021-03-02,123847.23287929535,10
2021-03-03,123511.19865291734,8
2021-03-04,122738.56857291971,8
2021-03-05,125343.97109782425,6
2021-03-08,125252.36707809115,6
2021-03-09,125633.89734394194,10
2021-03-10,127072.65266694053,10
2021-03-11,128764.03780669681,9
2021-03-12,129347.3374881915,9
2021-03-15,129211.97760866582,9
2021-03-16,126318.55288983893,10
2021-03-17,129001.76006261143,10
2021-03-18,125916.09028719315,10
2021-03-19,125956.95763438885,9
2021-03-22,125026.64337622022,9
2021-03-23,120977.64692762421,10
2021-03-24,121468.9006046876,10
2021-03-25,122289.826889137,8
2021-03-26,124805.19998345544,8
2021-03-29,123609.70972569365,8
2021-03-30,125276.1318115643,10
2021-03-31,124881.74485102978,9
2021-04-01,126465.04382154894,9
2021-04-05,126967.63617037232,9
2021-04-06,126808.80991191791,10
2021-04-07,125748.98844113032,10
2021-04-08,126324.04914234606,10
2021-04-09,126960.37056929196,10
2021-04-12,126832.92829329173,10
2021-04-13,125859.11032144254,10
2021-04-14,126737.65385484294,10
2021-04-15,127151.41437899809,10
2021-04-16,127482.56740394431,10
2021-04-19,127021.24199526377,10
2021-04-20,124134.14624740831,8
2021-04-21,125842.12111614825,8
2021-04-22,124557.6061656291,8
2021-04-23,125922.12734697855,8
2021-04-26,126518.21285515657,8
2021-04-27,126954.60303344711,10
2021-04-28,126748.65341476574,9
