date,equity,positions
2020-08-28,100000.0,0
2020-08-31,100000.0,0
2020-09-01,102176.30331903927,10
2020-09-02,101952.40513908533,10
2020-09-03,96596.80805950766,8
2020-09-04,96028.75808177069,5
2020-09-08,95518.03438867518,5
2020-09-09,96654.620853409,5
2020-09-10,96335.42498955347,5
2020-09-11,97107.42769545791,5
2020-09-14,97939.89901896365,5
2020-09-15,98193.68925631138,10
2020-09-16,98859.22573125902,10
2020-09-17,97971.14225241035,10
2020-09-18,97703.02133624259,10
2020-09-21,95759.39404908693,8
2020-09-22,97424.31073348472,10
2020-09-23,94657.65511866903,10
2020-09-24,95335.0373040521,10
2020-09-25,96530.03654819922,10
2020-09-28,99080.05115377763,10
2020-09-29,98791.01833846126,10
2020-09-30,99395.82479864752,10
2020-10-01,100889.76818638714,10
2020-10-02,101184.19708856748,10
2020-10-05,103373.56513341825,10
2020-10-06,102471.44283209817,10
2020-10-07,104492.81253114878,10
2020-10-08,105393.84306058218,10
2020-10-09,106447.31108984814,10
2020-10-12,106364.84027551135,10
2020-10-13,107240.03320438776,10
2020-10-14,107022.81856432083,10
2020-10-15,107393.95449232438,10
2020-10-16,107166.19541776812,10
2020-10-19,106153.10138212945,10
2020-10-20,106924.21915883565,10
2020-10-21,104722.9837692253,10
2020-10-22,104573.06812900989,10
2020-10-23,105213.28122060737,9
2020-10-26,102100.2746370854,9
2020-10-27,101893.18513491818,10
2020-10-28,98379.27084330065,8
2020-10-29,99010.22767437868,6
2020-10-30,97218.51618390053,6
2020-11-02,98493.56382849299,5
2020-11-03,99502.800305998,10
2020-11-04,98072.82115646102,9
2020-11-05,101880.89090159099,9
2020-11-06,102427.30704796477,9
2020-11-09,100224.72662119272,9
2020-11-10,100191.88107565223,10
2020-11-11,101544.77051354079,10
2020-11-12,99847.5949067903,10
2020-11-13,101488.01606699593,10
2020-11-16,103367.07221262665,9
2020-11-17,103116.76252737101,10
2020-11-18,102750.24768282627,9
2020-11-19,102974.51775882761,9
2020-11-20,102903.94825661472,9
2020-11-23,104084.08854571002,9
2020-11-24,105836.82846909211,10
2020-11-25,105653.25570279868,10
2020-11-27,105924.33302552183,10
2020-11-30,104839.04248321215,10
2020-12-01,105322.46143388646,10
2020-12-02,105869.75388884007,10
2020-12-03,105811.3363739935,10
2020-12-04,107366.47962894097,9
2020-12-07,107288.35113839759,9
2020-12-08,107672.69223274084,10
2020-12-09,106938.69460332688,10
2020-12-10,107300.98566185284,10
2020-12-11,106147.97749963691,10
2020-12-14,105156.10163761859,10
2020-12-15,107283.5840017465,10
2020-12-16,107396.00847589527,10
2020-12-17,108852.00828174572,10
2020-12-18,108045.24059473482,10
2020-12-21,108033.48403968003,9
2020-12-22,108664.61421807735,10
2020-12-23,109316.76517559522,10
2020-12-24,109298.15613673294,10
2020-12-28,108558.31794402725,10
2020-12-29,107593.5507142091,10
2020-12-30,109892.22527023706,10
2020-12-31,110252.89483321378,10
2021-01-04,110295.22942859902,10
2021-01-05,112786.08263646407,9
2021-01-06,116777.74585688415,9
2021-01-07,119812.75975083724,9
2021-01-08,119775.65963980819,9
2021-01-11,118059.5935019712,9
2021-01-12,119242.87238513133,10
2021-01-13,119034.8787039086,10
2021-01-14,121347.41883822257,10
2021-01-15,118482.22213536332,10
2021-01-19,120288.71161303319,10
2021-01-20,120766.51872659638,10
2021-01-21,120068.3704058854,10
2021-01-22,120280.98956143986,10
2021-01-25,117815.92415310758,10
2021-01-26,114168.01103207684,10
2021-01-27,108425.81082434481,9
2021-01-28,111858.21867629951,4
2021-01-29,111095.37741786888,4
2021-02-01,111740.46686087854,3
2021-02-02,111735.25955350431,10
2021-02-03,111700.74244578184,10
2021-02-04,111924.09929883761,10
2021-02-05,112033.69959669623,9
2021-02-08,114756.75159665079,9
2021-02-09,114963.79187615156,10
2021-02-10,114784.81585974233,10
2021-02-11,115776.20809751055,10
2021-02-12,115844.39794330028,10
2021-02-16,117241.72833542756,10
2021-02-17,115190.78042462227,8
2021-02-18,112021.70548380744,8
2021-02-19,115618.00692704828,8
2021-02-22,115085.83237241255,8
2021-02-23,115172.5210977112,10
2021-02-24,119359.57779032015,10
2021-02-25,114660.54085657158,10
2021-02-26,115227.14107979355,10
2021-03-01,119973.16345476024,10
2021-03-02,118047.06892794796,10
2021-03-03,117483.19087386515,10
2021-03-04,116260.86113243575,10
2021-03-05,120624.79799742065,9
2021-03-08,119931.08588972887,9
2021-03-09,120006.78742734635,10
2021-03-10,122332.53637398586,10
2021-03-11,125100.37661646135,10
2021-03-12,125622.99748129594,10
2021-03-15,125883.79262637574,9
2021-03-16,123252.18694668799,10
2021-03-17,125567.35153042502,10
2021-03-18,121704.72657697718,9
2021-03-19,121744.08854944793,9
2021-03-22,120878.08565485531,9
2021-03-23,115927.9563832965,10
2021-03-24,117035.11035787156,9
2021-03-25,118517.32592172684,9
2021-03-26,121258.7102943369,9
2021-03-29,119593.69121308255,9
2021-03-30,121380.15993429463,10
2021-03-31,121539.4899795553,10
2021-04-01,125264.08287295919,10
2021-04-05,124856.26632190752,10
2021-04-06,124638.82754079814,10
2021-04-07,124037.86282070768,10
2021-04-08,123900.69791528203,10
2021-04-09,124254.05801764653,10
2021-04-12,123762.03627272295,10
2021-04-13,123197.16872932506,10
2021-04-14,125136.4728287627,10
2021-04-15,125247.94775394825,10
2021-04-16,124999.90810674972,10
2021-04-19,124150.84635126722,9
2021-04-20,120685.79653641777,10
2021-04-21,123079.30123520148,8
2021-04-22,121209.82969610073,7
2021-04-23,122930.4873977185,7
2021-04-26,123780.50323846427,7
2021-04-27,124422.11696899752,10
2021-04-28,124677.5639275941,10
