ticker,action,entry_date,exit_date,entry,exit,shares,pnl_pct,half_sold,days
GNRC,STOP,2020-09-01,2020-09-03,189.7100067138672,178.59,105.21321645465414,-5.861581529876325,False,2
UPS,STOP,2020-09-01,2020-09-04,125.9216574100456,120.06,158.8289132414522,-4.655003381156231,False,3
PWR,STOP,2020-09-01,2020-09-21,50.628171628906244,48.14,395.0369795416622,-4.914599024321897,False,20
DELL,STOP,2020-09-15,2020-10-28,31.078449019222877,28.564546720202816,569.2808650531273,-8.088892394421432,False,43
MRVL,STOP,2020-09-15,2020-10-29,38.81699099734681,35.244735652018676,518.5277743915817,-9.202813648209618,False,44
MPWR,STOP,2020-11-03,2020-11-16,306.9008064619706,289.21,45.26509013371053,-5.764340167728676,False,13
FDX,STOP,2020-09-01,2021-01-08,158.9625996520375,177.19891049059407,125.81575819582194,11.472076374238394,False,129
ALGN,STOP,2021-01-12,2021-01-25,552.3400268554688,510.24,40.33154971843637,-7.622121303637675,False,13
FCX,STOP,2020-09-01,2021-01-27,14.58049222939516,24.153997223845266,1371.695803223898,65.6596831151512,False,148
TER,STOP,2021-01-26,2021-01-27,137.7232365563389,127.12,149.26560464859574,-7.698945233545529,False,1
FLEX,STOP,2020-11-03,2021-03-05,10.565184593200684,12.08138656616211,1950.5253173889178,14.350927421913573,False,122
FCX,STOP,2021-03-09,2021-03-25,31.019551968024413,28.1759415113109,758.1166198059268,-9.167155153126538,False,16
AMAT,STOP,2021-02-02,2021-05-12,98.2776287659744,111.66728727963158,236.37265179324015,13.62431988010373,False,99
UPS,STOP,2021-05-18,2021-06-09,169.6085567233359,163.38496254727806,145.1013680147079,-3.669386908474037,False,22
GEN,STOP,2021-06-15,2021-06-17,25.561202696391515,24.53,991.0338565573289,-4.034249517285382,False,2
NWSA,STOP,2021-03-30,2021-07-16,24.002832454855845,23.21,1002.3897648273754,-3.30307873600747,False,108
GM,STOP,2021-02-02,2021-08-17,50.12896507769866,49.30466711697501,463.4076065077114,-1.6443546349820037,False,196
WST,STOP,2021-08-24,2021-10-01,441.5914378862572,411.88,53.95757977594797,-6.728264032580755,False,38
VRT,STOP,2020-09-22,2021-10-06,16.98964291046701,22.89055754107951,1118.2533718917778,34.73242293383962,False,379
NVDA,STOP,2021-06-22,2021-12-14,18.407830114038756,27.61177134537967,1357.3710466788355,50.00014219123803,False,175
IT,STOP,2021-07-20,2022-01-10,254.77000427246094,293.6199951171875,96.36061003504588,15.249044311817372,False,174
