date,equity,positions
2020-08-28,100000.0,0
2020-08-31,100000.0,0
2020-09-01,102717.63329761443,3
2020-09-02,103781.09096368871,3
2020-09-03,100119.69597342261,3
2020-09-04,102191.32585127142,3
2020-09-08,100380.59074711252,3
2020-09-09,102552.87563302863,3
2020-09-10,100871.2031852103,3
2020-09-11,103461.4684055543,3
2020-09-14,104647.39941911,3
2020-09-15,104627.92273171942,3
2020-09-16,108032.294045752,3
2020-09-17,108123.87981712022,3
2020-09-18,107518.67557809925,3
2020-09-21,102227.5824699899,2
2020-09-22,102409.07189812002,3
2020-09-23,99843.1957925656,3
2020-09-24,101171.37617043813,3
2020-09-25,101813.60708502024,3
2020-09-28,103712.89819549417,3
2020-09-29,102729.86730712194,3
2020-09-30,103640.03307295233,3
2020-10-01,104805.025048287,3
2020-10-02,105097.58521619806,3
2020-10-05,106629.9432604365,3
2020-10-06,105439.93033497086,3
2020-10-07,109107.53183912215,3
2020-10-08,109230.23417521613,3
2020-10-09,109980.63434010086,3
2020-10-12,109116.15403813671,3
2020-10-13,108979.5499020337,3
2020-10-14,110261.39213714561,3
2020-10-15,111320.59859450371,3
2020-10-16,111346.75564004124,3
2020-10-19,111141.23643831757,3
2020-10-20,112932.50909082456,3
2020-10-21,113177.7876193769,3
2020-10-22,114328.08475730228,3
2020-10-23,114495.64851937158,3
2020-10-26,111640.35838304515,3
2020-10-27,111278.33207843348,3
2020-10-28,108639.87134275888,3
2020-10-29,110502.53597854951,3
2020-10-30,109199.81108353587,3
2020-11-02,110245.08325505973,3
2020-11-03,111780.36897477432,2
2020-11-04,110554.09533268963,2
2020-11-05,112181.87173042294,2
2020-11-06,112553.67819800349,2
2020-11-09,112059.30106267962,2
2020-11-10,112319.0655286492,3
2020-11-11,114077.46146990899,3
2020-11-12,113007.4461625653,3
2020-11-13,114120.09088194581,3
2020-11-16,116920.04865172628,3
2020-11-17,117259.93527443444,3
2020-11-18,116274.88561403898,3
2020-11-19,116626.91154257147,3
2020-11-20,116134.9532619306,3
2020-11-23,116978.72812083371,3
2020-11-24,119221.77761934344,3
2020-11-25,118927.65458360068,3
2020-11-27,118772.06665244997,3
2020-11-30,119463.44489197856,3
2020-12-01,120911.47812064494,3
2020-12-02,121510.35667528676,3
2020-12-03,121895.27107149416,3
2020-12-04,124841.50408233142,3
2020-12-07,124602.92830967826,3
2020-12-08,125030.13302524334,3
2020-12-09,123808.17219591435,3
2020-12-10,123825.1267705324,3
2020-12-11,120422.10299736449,3
2020-12-14,119802.13141794161,3
2020-12-15,120903.97639080517,3
2020-12-16,121603.47223597592,3
2020-12-17,122160.09274065313,3
2020-12-18,120228.61649101386,3
2020-12-21,119998.77672240138,2
2020-12-22,119551.13811653067,3
2020-12-23,119499.65368886248,3
2020-12-24,120142.75684146452,3
2020-12-28,119155.37403288457,3
2020-12-29,119442.8751935458,3
2020-12-30,122025.21830150382,3
2020-12-31,122876.39047213615,3
2021-01-04,122443.92388457345,3
2021-01-05,126089.34194319005,3
2021-01-06,127414.45981583404,3
2021-01-07,131040.10166740575,3
2021-01-08,132180.27929828622,3
2021-01-11,130148.61244828207,3
2021-01-12,130104.05966598896,3
2021-01-13,130314.33470604967,3
2021-01-14,133168.66818873928,3
2021-01-15,131862.59350412732,3
2021-01-19,133469.97037601535,3
2021-01-20,133315.232288621,3
2021-01-21,130811.53447807019,3
2021-01-22,130250.01112969182,3
2021-01-25,129314.35605227656,3
2021-01-26,126647.03886444116,3
2021-01-27,122257.56690876372,3
2021-01-28,123029.50999569817,1
2021-01-29,123127.46674167231,1
2021-02-01,123838.62757608757,1
2021-02-02,124800.55239781627,3
2021-02-03,124183.38822074175,3
2021-02-04,123520.93348460086,3
2021-02-05,122833.22543626616,2
2021-02-08,126993.57720267944,2
2021-02-09,126673.0804288621,3
2021-02-10,125815.43780879994,3
2021-02-11,127813.22417031562,3
2021-02-12,129354.32968716358,3
2021-02-16,129805.11894997914,3
2021-02-17,126852.15680140484,2
2021-02-18,125815.4761087957,2
2021-02-19,127352.84409178961,2
2021-02-22,126034.87715767162,2
2021-02-23,125397.02030303532,3
2021-02-24,129459.70475363289,3
2021-02-25,124222.50921869252,3
2021-02-26,125732.92799702371,3
2021-03-01,131797.08073456885,3
2021-03-02,130623.4315042175,3
2021-03-03,128531.89796073617,3
2021-03-04,125787.54460307595,3
2021-03-05,129171.16029645353,3
2021-03-08,129152.77104010172,3
2021-03-09,131369.81337097049,3
2021-03-10,134098.34263712278,3
2021-03-11,134869.76816657936,3
2021-03-12,137308.40200708382,3
2021-03-15,136917.77683620324,3
2021-03-16,135611.532499848,3
2021-03-17,138516.5524289503,3
2021-03-18,136373.02334800502,3
2021-03-19,137299.10929505926,3
2021-03-22,136890.21787021338,3
2021-03-23,132847.70649819728,3
2021-03-24,132902.34170682024,3
2021-03-25,134286.32509808047,3
2021-03-26,137493.44976305118,3
2021-03-29,135915.668673891,3
2021-03-30,138142.97544871882,3
2021-03-31,139715.2188196376,3
2021-04-01,142425.14430161112,3
2021-04-05,144488.79997118242,3
2021-04-06,144045.59196195973,3
2021-04-07,143636.32195834178,3
2021-04-08,143320.8949373039,3
2021-04-09,143666.56075748528,3
2021-04-12,143041.16349555014,3
2021-04-13,141858.70793293236,3
2021-04-14,141855.37121263938,3
2021-04-15,142617.3736961122,3
2021-04-16,142279.69087264623,3
2021-04-19,141295.62699079455,3
2021-04-20,139359.02462103782,3
2021-04-21,140973.08883217766,2
2021-04-22,139698.3066482321,2
2021-04-23,141082.65805230406,2
2021-04-26,141592.76468472465,2
2021-04-27,142551.7530975116,3
2021-04-28,143176.22471928364,3
2021-04-29,143903.4091636123,3
