date,equity,positions
2020-08-28,100000.0,0
2020-08-31,100000.0,0
2020-09-01,101924.69123877102,5
2020-09-02,102760.51325298515,5
2020-09-03,98246.11409948804,4
2020-09-04,99175.51974844518,3
2020-09-08,98088.61642592248,3
2020-09-09,99392.41587708279,3
2020-09-10,98383.29297019629,3
2020-09-11,99938.21339563231,3
2020-09-14,100650.09567563134,3
2020-09-15,100144.95135827587,5
2020-09-16,101669.98744359039,5
2020-09-17,101547.8871032903,5
2020-09-18,100964.21802619644,5
2020-09-21,97321.4573362434,4
2020-09-22,98109.94843057763,5
2020-09-23,95663.82460296819,5
2020-09-24,96700.80807882256,5
2020-09-25,97509.2318574586,5
2020-09-28,100178.89114754595,5
2020-09-29,99569.37327651617,5
2020-09-30,99973.94283979174,5
2020-10-01,101007.41816636176,5
2020-10-02,100888.73365475127,5
2020-10-05,103133.88166867482,5
2020-10-06,102511.32068384255,5
2020-10-07,105353.9647928535,5
2020-10-08,105975.77969584022,5
2020-10-09,107375.60867856776,5
2020-10-12,106613.71069397869,5
2020-10-13,106928.16865776479,5
2020-10-14,107636.46126749054,5
2020-10-15,108180.35741367275,5
2020-10-16,108309.38021588646,5
2020-10-19,107367.79656028491,5
2020-10-20,108533.06770897622,5
2020-10-21,107764.53562501834,5
2020-10-22,108573.75852097834,5
2020-10-23,109087.29984223301,5
2020-10-26,105350.21522224294,5
2020-10-27,105539.78303607454,4
2020-10-28,101801.6541115258,4
2020-10-29,101797.04591819918,3
2020-10-30,100607.64289230903,3
2020-11-02,102172.63059513681,3
2020-11-03,103911.05847281123,5
2020-11-04,104322.73319805767,5
2020-11-05,108674.17018107048,5
2020-11-06,110262.15224909213,5
2020-11-09,106059.22115517825,5
2020-11-10,105669.4696502355,5
2020-11-11,106920.3587979303,5
2020-11-12,105379.7821418187,5
2020-11-13,107187.99915435792,5
2020-11-16,108966.49519078108,4
2020-11-17,108945.6693704961,5
2020-11-18,108650.70480591175,5
2020-11-19,109456.04894923964,5
2020-11-20,109466.00439908591,5
2020-11-23,111604.66165423491,5
2020-11-24,114449.26421167541,5
2020-11-25,114186.31136612198,5
2020-11-27,114167.43326955444,5
2020-11-30,112658.15364687915,5
2020-12-01,114097.16572228003,5
2020-12-02,114631.38972485364,5
2020-12-03,114956.8026155821,5
2020-12-04,116667.61376202416,4
2020-12-07,116371.02337166759,4
2020-12-08,116639.81273466018,5
2020-12-09,116011.9214675895,5
2020-12-10,116325.61983435419,5
2020-12-11,115511.04661878296,5
2020-12-14,113640.5896305451,5
2020-12-15,115369.88099947058,5
2020-12-16,115252.52245113498,5
2020-12-17,117273.57602389654,5
2020-12-18,115011.8989249077,5
2020-12-21,115286.6374738063,4
2020-12-22,115486.54384926545,5
2020-12-23,116748.91255934325,5
2020-12-24,116851.92572414562,5
2020-12-28,116042.1663062823,5
2020-12-29,115172.63566078887,5
2020-12-30,118954.38144590125,5
2020-12-31,118857.22420604572,5
2021-01-04,119436.98668623996,5
2021-01-05,121953.50049244189,5
2021-01-06,127633.09720459142,5
2021-01-07,131267.4682722561,5
2021-01-08,130941.98428772106,5
2021-01-11,128750.37098633278,5
2021-01-12,129845.31122670964,5
2021-01-13,128324.83789565315,5
2021-01-14,131408.79202621995,5
2021-01-15,128318.83197399981,5
2021-01-19,130261.56911731111,5
2021-01-20,130434.43241419342,5
2021-01-21,129285.70205115831,5
2021-01-22,129901.579796477,5
2021-01-25,126982.4057762128,5
2021-01-26,122519.67569258742,5
2021-01-27,116178.77254148545,5
2021-01-28,121029.2885930363,1
2021-01-29,120436.97015665866,1
2021-02-01,120737.17051180168,0
2021-02-02,120528.62855087701,5
2021-02-03,120362.35293536092,5
2021-02-04,121811.64543205933,5
2021-02-05,121844.52264871367,5
2021-02-08,125774.67443004705,5
2021-02-09,125845.65524876077,5
2021-02-10,125556.81614451695,5
2021-02-11,127757.24462955596,5
2021-02-12,127168.82815096114,5
2021-02-16,129855.7172939654,5
2021-02-17,127998.35035986739,5
2021-02-18,123775.27298917549,5
2021-02-19,127970.57342762226,5
2021-02-22,125838.61275666961,5
2021-02-23,123933.12926881862,4
2021-02-24,129056.95578917909,4
2021-02-25,123348.63720503682,4
2021-02-26,123894.62226255001,4
2021-03-01,127489.40147013946,4
2021-03-02,126114.67478855225,5
2021-03-03,124025.8449582863,4
2021-03-04,119147.21151736294,4
2021-03-05,121831.72114340977,3
2021-03-08,121133.25004217747,3
2021-03-09,123254.83391320771,5
2021-03-10,125350.43648818799,5
2021-03-11,127978.50683070348,4
2021-03-12,128391.43947223628,4
2021-03-15,128504.00769266563,4
2021-03-16,126183.57517705142,5
2021-03-17,129966.52132701324,5
2021-03-18,126298.24145129576,4
2021-03-19,126220.59891990953,4
2021-03-22,125639.63180653506,4
2021-03-23,120209.08614743326,5
2021-03-24,121065.51888000226,4
2021-03-25,122417.21777234094,4
2021-03-26,124983.85724448397,4
2021-03-29,124130.25901962002,4
2021-03-30,126120.36781439054,5
2021-03-31,126873.15293963556,5
2021-04-01,129550.74470322618,5
2021-04-05,131601.5672447219,5
2021-04-06,131094.7115492402,5
2021-04-07,129957.3066779897,5
2021-04-08,130408.47474687138,5
2021-04-09,130719.5635054321,5
2021-04-12,129600.80905838302,5
2021-04-13,128838.53269203802,5
2021-04-14,129901.86630816234,5
2021-04-15,129928.58937543884,5
2021-04-16,130515.54844656089,5
2021-04-19,129019.56553415922,5
2021-04-20,126309.9285878659,5
2021-04-21,129979.6643127116,4
2021-04-22,128448.37917703812,4
2021-04-23,129996.99558072098,4
2021-04-26,131154.96757301022,4
2021-04-27,132258.59356630588,5
2021-04-28,132299.2669696664,5
