date,equity,positions
2020-08-28,100000.0,0
2020-08-31,100000.0,0
2020-09-01,102717.63329761443,3
2020-09-02,103781.09096368871,3
2020-09-03,100119.69597342261,3
2020-09-04,102191.32585127142,3
2020-09-08,100380.59074711252,3
2020-09-09,102552.87563302863,3
2020-09-10,100871.2031852103,3
2020-09-11,103461.4684055543,3
2020-09-14,104647.39941911,3
2020-09-15,104627.92273171942,3
2020-09-16,107834.6844934831,3
2020-09-17,107454.16263372212,3
2020-09-18,106750.2852563223,3
2020-09-21,101152.5492964997,2
2020-09-22,101706.97276366343,3
2020-09-23,99025.16710919132,3
2020-09-24,100579.32530996998,3
2020-09-25,101646.26635221545,3
2020-09-28,103847.236067093,3
2020-09-29,102768.94732898237,3
2020-09-30,103500.42652280192,3
2020-10-01,104773.03427550157,3
2020-10-02,105196.94207488664,3
2020-10-05,107002.27578621783,3
2020-10-06,105810.84094631369,3
2020-10-07,110121.93665183731,3
2020-10-08,110451.18809845773,3
2020-10-09,111253.72205748223,3
2020-10-12,110546.21894055993,3
2020-10-13,110359.40325223167,3
2020-10-14,111850.10135303304,3
2020-10-15,113351.86259500905,3
2020-10-16,113510.11441171066,3
2020-10-19,113163.37133287817,3
2020-10-20,115338.39410926444,3
2020-10-21,114906.10133836188,3
2020-10-22,116173.40394229961,3
2020-10-23,116960.59760485445,3
2020-10-26,112692.3426499224,3
2020-10-27,112506.45005905123,3
2020-10-28,107918.40758951782,3
2020-10-29,110911.8129832238,3
2020-10-30,108930.65424183798,3
2020-11-02,111537.85267647624,3
2020-11-03,114154.5682805183,3
2020-11-04,111238.57349328701,3
2020-11-05,114364.3578598327,3
2020-11-06,114514.7655268641,3
2020-11-09,113414.77660406135,3
2020-11-10,113844.82604167516,3
2020-11-11,114293.20236640486,3
2020-11-12,114099.1367693914,3
2020-11-13,117397.97316815954,3
2020-11-16,120946.38658992117,3
2020-11-17,122062.03780534874,3
2020-11-18,120420.43914474917,3
2020-11-19,121683.62791112419,3
2020-11-20,121649.6540862716,3
2020-11-23,125167.06379642493,3
2020-11-24,127913.83971286756,3
2020-11-25,128666.47662067127,3
2020-11-27,128525.97088380439,3
2020-11-30,127864.2364225872,3
2020-12-01,129854.30460302696,3
2020-12-02,131390.21478210698,3
2020-12-03,131919.376556698,3
2020-12-04,134619.6542918394,3
2020-12-07,133260.07355251937,3
2020-12-08,134660.31339486892,3
2020-12-09,131872.28878563136,3
2020-12-10,132255.1415941954,3
2020-12-11,131512.59746594005,3
2020-12-14,129286.5697655236,3
2020-12-15,130323.59735113206,3
2020-12-16,130518.19670780077,3
2020-12-17,132727.1986879214,3
2020-12-18,129829.80587704269,3
2020-12-21,129432.30467878668,3
2020-12-22,128247.47980556158,3
2020-12-23,129226.60675773062,3
2020-12-24,128660.51146016354,3
2020-12-28,126906.64661972309,3
2020-12-29,126652.16406955592,3
2020-12-30,130381.56674399135,3
2020-12-31,129391.68305059278,3
2021-01-04,130514.61951979809,3
2021-01-05,132439.95776429283,3
2021-01-06,136486.08371812192,3
2021-01-07,137523.29602129845,3
2021-01-08,136779.6393411586,2
2021-01-11,135034.8643126106,2
2021-01-12,137013.86353081634,3
2021-01-13,136577.03250679883,3
2021-01-14,140017.00217447735,3
2021-01-15,138732.14560265397,3
2021-01-19,143002.3583833232,3
2021-01-20,142231.4123823361,3
2021-01-21,138541.32534027478,3
2021-01-22,137731.16015132758,3
2021-01-25,133257.75570116978,2
2021-01-26,129368.92075226962,3
2021-01-27,123268.48578267236,1
2021-01-28,123880.55540701549,1
2021-01-29,124066.03891400108,1
2021-02-01,124103.12779523921,1
2021-02-02,124597.72079794301,3
2021-02-03,124258.12934283825,3
2021-02-04,126388.19944083228,3
2021-02-05,126224.31757807701,3
2021-02-08,131138.36844485314,3
2021-02-09,129404.25457871633,3
2021-02-10,129432.42672853653,3
2021-02-11,130922.01910258025,3
2021-02-12,133006.1489450349,3
2021-02-16,133298.3226190132,3
2021-02-17,131509.3156259681,3
2021-02-18,129793.97867082298,3
2021-02-19,133652.381019852,3
2021-02-22,130930.8479179453,3
2021-02-23,131294.5955997351,3
2021-02-24,133812.61916916625,3
2021-02-25,127549.69226323317,3
2021-02-26,130953.6242835357,3
2021-03-01,134267.1574647269,3
2021-03-02,132911.36467378674,3
2021-03-03,130851.20957973538,3
2021-03-04,125695.25737348007,3
2021-03-05,129328.05018093578,3
2021-03-08,126451.34039080243,3
2021-03-09,130646.2554335558,3
2021-03-10,132529.50700879114,3
2021-03-11,134950.12805087783,3
2021-03-12,135914.79682063597,3
2021-03-15,135182.58994620084,3
2021-03-16,134710.7450196938,3
2021-03-17,138128.7209852835,3
2021-03-18,134379.21407000837,3
2021-03-19,135436.9699790713,3
2021-03-22,135708.29113343346,3
2021-03-23,131466.54724676348,3
2021-03-24,132458.07124026335,3
2021-03-25,132917.0565838173,3
2021-03-26,136590.777017841,3
2021-03-29,134563.8897045353,3
2021-03-30,137945.88353128504,3
2021-03-31,140275.45946162182,3
2021-04-01,145603.93465064617,3
2021-04-05,148707.24863226805,3
2021-04-06,149064.0204554451,3
2021-04-07,147339.1197686483,3
2021-04-08,147431.9827627138,3
2021-04-09,147199.02279953827,3
2021-04-12,145545.94663092348,3
2021-04-13,145328.75196807412,3
2021-04-14,145268.46596961195,3
2021-04-15,145962.13801038096,3
2021-04-16,145897.46392249898,3
2021-04-19,143690.55363317102,3
2021-04-20,140225.05571639707,3
2021-04-21,144221.12498817884,3
2021-04-22,142552.51686376287,3
2021-04-23,144120.65822234988,3
2021-04-26,146808.51492611808,3
2021-04-27,148461.51045332954,3
2021-04-28,147523.9773659915,3
2021-04-29,146319.87305479095,3
