date,equity,positions
2023-09-01,100000.0,0
2023-09-05,100000.0,0
2023-09-06,100000.0,0
2023-09-07,100000.0,0
2023-09-08,100000.0,0
2023-09-11,100000.0,0
2023-09-12,98048.75402710203,3
2023-09-13,96392.00980388085,2
2023-09-14,96598.33782591004,2
2023-09-15,95633.78936055857,2
2023-09-18,96197.82305508139,2
2023-09-19,96192.57242603405,3
2023-09-20,94989.67878518108,3
2023-09-21,93108.13853033837,2
2023-09-22,93662.31927374373,2
2023-09-25,93899.61648831755,2
2023-09-26,90723.71074001369,3
2023-09-27,90899.49165608907,2
2023-09-28,91303.63835003349,2
2023-09-29,90620.37598220984,2
2023-10-02,90171.52172041345,2
2023-10-03,89035.558237032,3
2023-10-04,89975.18605019189,2
2023-10-05,90043.58570015349,2
2023-10-06,90570.04184405712,2
2023-10-09,91147.64135968378,2
2023-10-10,92101.67051476752,3
2023-10-11,92407.09171481195,3
2023-10-12,90976.79986022925,3
2023-10-13,89843.9657169724,3
2023-10-16,91105.33880722581,3
2023-10-17,91833.41626052046,3
2023-10-18,90093.88374172442,3
2023-10-19,88449.78420707973,3
2023-10-20,87009.3435918767,3
2023-10-23,87540.71531387267,2
2023-10-24,85501.62032095763,3
2023-10-25,84047.61386528877,2
2023-10-26,83890.06256435144,1
2023-10-27,83566.84186168024,1
2023-10-30,83802.11651365305,1
2023-10-31,84251.24199432482,3
2023-11-01,85336.32795459815,3
2023-11-02,85786.09229046715,3
2023-11-03,87074.08406768515,3
2023-11-06,88216.28595529961,3
2023-11-07,87979.91130110176,3
2023-11-08,88360.14197036649,3
2023-11-09,88387.2689153751,3
2023-11-10,88569.96848498282,3
2023-11-13,89839.24230014601,3
2023-11-14,90743.74389151693,3
2023-11-15,90948.60166146059,3
2023-11-16,91156.63809541753,3
2023-11-17,90752.05134543657,3
2023-11-20,90940.0700770925,3
2023-11-21,90406.16785266552,3
2023-11-22,91298.73416542841,3
2023-11-24,91046.78012224153,3
2023-11-27,91347.18971994371,3
2023-11-28,91177.25938568714,3
2023-11-29,90442.43276441912,3
2023-11-30,91383.13789837848,3
2023-12-01,91352.74286566905,3
2023-12-04,91571.9037433475,3
2023-12-05,91505.40336314164,3
2023-12-06,90494.57772741307,3
2023-12-07,90391.58406489271,3
2023-12-08,90006.51683492682,3
2023-12-11,90336.24726650416,2
2023-12-12,91166.20951925918,3
2023-12-13,91391.28189584162,3
2023-12-14,89238.92956154724,3
2023-12-15,89867.2753831256,3
2023-12-18,90539.61976139346,3
2023-12-19,91207.74474411695,3
2023-12-20,90596.98785604206,3
2023-12-21,91427.5235838252,3
2023-12-22,91395.73139371377,3
2023-12-26,91259.99412266769,3
2023-12-27,91861.53860519956,3
2023-12-28,92396.7803946628,3
2023-12-29,92316.79778153972,3
2024-01-02,91238.41533880364,3
2024-01-03,90616.61675373062,3
2024-01-04,90147.72281449776,3
2024-01-05,90356.72239011768,2
2024-01-08,91506.99772524192,2
2024-01-09,90716.01831944988,3
2024-01-10,91970.46281368204,3
2024-01-11,92776.861307352,3
2024-01-12,93120.93289670194,3
2024-01-16,93100.33161262481,3
2024-01-17,92633.3283994197,3
2024-01-18,93369.30030893785,3
2024-01-19,95991.48748175864,3
2024-01-22,96143.11934153829,3
2024-01-23,96428.53556393491,3
2024-01-24,96579.08534937404,3
2024-01-25,97104.96271375971,3
2024-01-26,95418.18441506126,3
2024-01-29,95861.19003299807,3
2024-01-30,95587.8232676459,3
2024-01-31,94695.82681998302,3
2024-02-01,97400.70010418448,3
2024-02-02,98092.70404338592,3
2024-02-05,97525.46647248528,3
2024-02-06,96396.38056276337,3
2024-02-07,97175.58360774498,3
2024-02-08,98361.59689794353,3
2024-02-09,98941.63792086564,3
2024-02-12,98561.60420551522,3
2024-02-13,97210.87685453726,3
2024-02-14,98378.2118448267,3
2024-02-15,97197.10657140023,3
2024-02-16,97459.92190417842,3
2024-02-20,96412.2731749398,3
2024-02-21,95887.74038283661,3
2024-02-22,98921.09717650278,3
2024-02-23,99793.95971025433,3
2024-02-26,100751.08126292899,3
2024-02-27,100782.04139491438,3
2024-02-28,101312.52484593683,3
2024-02-29,101731.36360070857,3
2024-03-01,108326.60170239826,3
2024-03-04,108192.53802001037,3
2024-03-05,107694.44279933753,3
2024-03-06,108651.44486029609,3
2024-03-07,109377.403295158,3
2024-03-08,108134.04631771368,3
2024-03-11,107728.86390075414,3
2024-03-12,108512.48463219774,3
2024-03-13,106775.42498918713,3
2024-03-14,106475.11480251286,2
2024-03-15,106763.17002504173,2
2024-03-18,107051.40359367854,2
2024-03-19,107690.85799338033,3
2024-03-20,108032.86598836032,3
2024-03-21,108683.68812070928,3
2024-03-22,107372.50627965174,2
2024-03-25,107842.45251488779,2
2024-03-26,107857.8535771489,3
2024-03-27,107175.04587833086,3
2024-03-28,107705.20233002322,3
2024-04-01,109739.83630757814,3
2024-04-02,108792.36201743357,3
2024-04-03,112232.65459187841,3
2024-04-04,110438.87657597117,3
2024-04-05,113491.20372206267,3
2024-04-08,112212.12391073073,3
2024-04-09,111029.78763018383,3
2024-04-10,111204.03327942052,3
2024-04-11,112782.8466699998,3
2024-04-12,110680.85768655833,3
