date,equity,positions
2023-09-01,100000.0,0
2023-09-05,100000.0,0
2023-09-06,100000.0,0
2023-09-07,100000.0,0
2023-09-08,100000.0,0
2023-09-11,100000.0,0
2023-09-12,98377.82660146573,5
2023-09-13,97681.2483594377,4
2023-09-14,97764.1000275139,4
2023-09-15,95884.37669740603,4
2023-09-18,95641.45033476225,3
2023-09-19,95722.78352536152,5
2023-09-20,94899.52524017122,5
2023-09-21,92985.59732575956,3
2023-09-22,93270.82599150557,3
2023-09-25,93455.16596480133,3
2023-09-26,91146.21127932737,5
2023-09-27,91701.15297129631,4
2023-09-28,91981.86905684904,4
2023-09-29,91095.41156345728,4
2023-10-02,90068.59689561631,3
2023-10-03,89022.14084463919,5
2023-10-04,90267.41129234374,4
2023-10-05,89983.24618878003,3
2023-10-06,90388.00564666235,3
2023-10-09,90943.79791960957,3
2023-10-10,91403.71004058963,5
2023-10-11,92012.43972928506,5
2023-10-12,91198.96889964104,5
2023-10-13,90431.3039585796,5
2023-10-16,91587.19323372794,5
2023-10-17,92176.33401536493,5
2023-10-18,90468.0165902393,5
2023-10-19,89160.5769805573,5
2023-10-20,87938.07549862492,5
2023-10-23,88057.8981305102,4
2023-10-24,86510.28186943886,5
2023-10-25,85356.1906573583,4
2023-10-26,84546.0242873108,2
2023-10-27,83651.90087025244,1
2023-10-30,83790.97534083792,1
2023-10-31,84537.39309478948,5
2023-11-01,86221.68550863364,5
2023-11-02,86739.95265541025,5
2023-11-03,87917.95896094224,5
2023-11-06,88522.84944090794,5
2023-11-07,88240.75885816003,5
2023-11-08,88401.9804336791,5
2023-11-09,88336.66533777298,5
2023-11-10,89169.18585416452,5
2023-11-13,90102.7735368079,5
2023-11-14,91596.35484697238,5
2023-11-15,91411.19024183914,5
2023-11-16,91170.02792963012,5
2023-11-17,91273.5832296592,5
2023-11-20,91663.31328806288,5
2023-11-21,90023.13293136797,5
2023-11-22,91239.39799107639,5
2023-11-24,90778.44710490853,5
2023-11-27,91419.90469647579,5
2023-11-28,91048.44209292818,5
2023-11-29,90484.1245605464,5
2023-11-30,92085.32747313556,5
2023-12-01,93220.3782666379,5
2023-12-04,93825.91788592598,5
2023-12-05,93865.24687775194,5
2023-12-06,92113.39902879111,5
2023-12-07,92900.06499433737,5
2023-12-08,93489.97999016182,5
2023-12-11,93856.15080904393,4
2023-12-12,95494.17692017037,5
2023-12-13,95420.42454475138,5
2023-12-14,93377.54084859401,5
2023-12-15,94185.42120308391,5
2023-12-18,94757.05227878215,5
2023-12-19,96001.27129903503,5
2023-12-20,94603.93172827872,5
2023-12-21,95901.18871020636,5
2023-12-22,96060.48138631876,5
2023-12-26,96309.77842719684,5
2023-12-27,96831.60116637457,5
2023-12-28,97536.10054376154,5
2023-12-29,96921.31754046777,5
2024-01-02,94967.138685014,5
2024-01-03,94685.43185271724,5
2024-01-04,94529.8307358147,5
2024-01-05,95059.43882943154,4
2024-01-08,97049.40870247525,4
2024-01-09,96977.64186017297,5
2024-01-10,96807.8151349239,5
2024-01-11,97915.91407423656,5
2024-01-12,98132.04570449382,5
2024-01-16,98399.98399628693,5
2024-01-17,98099.703950289,5
2024-01-18,98994.8258817097,5
2024-01-19,102400.51295108796,5
2024-01-22,102328.64888639862,5
2024-01-23,102505.57265362039,5
2024-01-24,101805.99686147808,5
2024-01-25,103275.70206656598,5
2024-01-26,102646.7117927249,5
2024-01-29,103433.19705243799,5
2024-01-30,104266.27364142236,5
2024-01-31,103382.87808768702,5
2024-02-01,107669.40802445463,5
2024-02-02,109675.60317007659,5
2024-02-05,108554.42720997953,5
2024-02-06,106788.08829742685,5
2024-02-07,108067.66413297833,5
2024-02-08,108630.48215169692,5
2024-02-09,109933.80148864616,5
2024-02-12,108255.27842278598,5
2024-02-13,108493.06640137616,5
2024-02-14,110447.52364625965,5
2024-02-15,109504.90475708584,5
2024-02-16,109626.53691653666,5
2024-02-20,108691.9904454946,5
2024-02-21,106891.31172368786,5
2024-02-22,111548.71585301784,5
2024-02-23,112336.41473293048,5
2024-02-26,115040.33097340912,5
2024-02-27,116220.27198495236,5
2024-02-28,117828.15519201927,5
2024-02-29,119741.16685621286,5
2024-03-01,128694.19752290152,5
2024-03-04,130294.78907114133,5
2024-03-05,130015.28407620726,5
2024-03-06,133005.66215314163,5
2024-03-07,134291.50876869084,5
2024-03-08,131089.36005829202,5
2024-03-11,128367.95174347909,5
2024-03-12,132625.84097212384,5
2024-03-13,131524.8329473417,5
2024-03-14,132414.5941606204,4
2024-03-15,132058.66240935135,4
2024-03-18,134132.44488158196,4
2024-03-19,135652.5549971526,5
2024-03-20,138290.24650196353,5
2024-03-21,141600.18662328122,5
2024-03-22,141235.50139787063,4
2024-03-25,142656.42492040398,4
2024-03-26,140947.96033826313,5
2024-03-27,139907.1110733727,5
2024-03-28,141707.06532615106,5
2024-04-01,144467.294400761,5
2024-04-02,143427.20129608669,5
2024-04-03,150532.85358822963,5
2024-04-04,145515.92439939102,5
2024-04-05,152690.8073839758,5
2024-04-08,150593.76199934658,5
2024-04-09,145802.65099159392,5
2024-04-10,147814.98768384283,5
2024-04-11,150336.96054582443,5
2024-04-12,146111.39513382423,5
