date,equity,positions
2023-09-01,100000.0,0
2023-09-05,100000.0,0
2023-09-06,100000.0,0
2023-09-07,100000.0,0
2023-09-08,100000.0,0
2023-09-11,100000.0,0
2023-09-12,98377.82660146573,5
2023-09-13,97681.2483594377,4
2023-09-14,97764.1000275139,4
2023-09-15,95884.37669740603,4
2023-09-18,95641.45033476225,3
2023-09-19,95722.78352536152,5
2023-09-20,94899.52524017122,5
2023-09-21,92985.59732575956,3
2023-09-22,93270.82599150557,3
2023-09-25,93455.16596480133,3
2023-09-26,91146.21127932737,5
2023-09-27,91701.15297129631,4
2023-09-28,91981.86905684904,4
2023-09-29,91095.41156345728,4
2023-10-02,90068.59689561631,3
2023-10-03,89022.14084463919,5
2023-10-04,90694.57244137893,5
2023-10-05,90391.91025180345,4
2023-10-06,90878.8938181317,4
2023-10-09,91748.67963648078,4
2023-10-10,92265.12979074112,5
2023-10-11,92940.32546907732,5
2023-10-12,91853.61891814835,5
2023-10-13,90445.0911251411,5
2023-10-16,91884.96212252483,5
2023-10-17,92414.4376966661,5
2023-10-18,90211.12617039004,5
2023-10-19,88847.45221662523,4
2023-10-20,87762.31088389886,4
2023-10-23,87922.65007558344,3
2023-10-24,86328.35371895178,5
2023-10-25,85351.12911987491,4
2023-10-26,84501.82775942239,2
2023-10-27,83607.70434236403,1
2023-10-30,83746.7788129495,1
2023-10-31,84492.5623385803,5
2023-11-01,86175.6738922236,5
2023-11-02,86693.74783530681,5
2023-11-03,87871.11752726848,5
2023-11-06,88475.83384369202,5
2023-11-07,88193.84556471229,5
2023-11-08,88355.01177158747,5
2023-11-09,88289.77411485322,5
2023-11-10,89121.42547426111,5
2023-11-13,90054.5179832343,5
2023-11-14,91605.93011816344,5
2023-11-15,91439.64735605368,5
2023-11-16,91454.54353510222,5
2023-11-17,91362.24648472478,5
2023-11-20,91647.497976571,5
2023-11-21,90825.9079594072,5
2023-11-22,91730.30340955072,5
2023-11-24,91432.42280548414,5
2023-11-27,91986.66052517843,5
2023-11-28,91613.77031264179,5
2023-11-29,91027.22902840316,5
2023-11-30,92144.42815802139,5
2023-12-01,92864.76891655389,5
2023-12-04,93482.18553013842,5
2023-12-05,93529.18302831754,5
2023-12-06,92452.02684148813,5
2023-12-07,92818.39874879541,5
2023-12-08,92971.6550296968,5
2023-12-11,93370.7754764404,5
2023-12-12,94051.12383088563,4
2023-12-13,94623.87124173179,4
2023-12-14,93276.75488266008,4
2023-12-15,93482.32910085615,4
2023-12-18,93845.78821123927,4
2023-12-19,94552.9652219944,5
2023-12-20,93645.00424228022,5
2023-12-21,94644.35267010055,5
2023-12-22,94502.17825822152,5
2023-12-26,94374.4411631305,5
2023-12-27,94877.94194750887,5
2023-12-28,95370.84076936795,5
2023-12-29,95174.5959955079,5
2024-01-02,95260.02923537434,5
2024-01-03,94118.47152161469,5
2024-01-04,94200.93984093612,5
2024-01-05,94736.88634453678,5
2024-01-08,95704.69893784776,5
2024-01-09,95392.26727161599,5
2024-01-10,94894.14514587482,5
2024-01-11,95807.05407315749,5
2024-01-12,96412.52022041257,5
2024-01-16,96769.19097573064,5
2024-01-17,97292.72965969415,5
2024-01-18,97393.73324817454,5
2024-01-19,97801.6145716172,5
2024-01-22,98140.26258302417,5
2024-01-23,98314.49694391448,5
2024-01-24,97537.52876574494,5
2024-01-25,98508.49585143832,5
2024-01-26,97899.50887844969,5
2024-01-29,96916.31007557495,4
2024-01-30,97039.22056074475,5
2024-01-31,95715.01577077304,5
2024-02-01,97015.17740890944,4
2024-02-02,97641.0115949343,4
2024-02-05,97693.56355799788,4
2024-02-06,97981.53143604836,5
2024-02-07,98504.41608790812,5
2024-02-08,100624.8839780138,5
2024-02-09,101191.44937126641,5
2024-02-12,101492.7773964321,5
2024-02-13,100376.1556734106,5
2024-02-14,103674.815360746,5
2024-02-15,103481.7457384578,5
2024-02-16,103674.14284996483,5
2024-02-20,103212.8829175049,5
2024-02-21,102649.25177598186,5
2024-02-22,105317.97272905675,5
2024-02-23,106406.27902006176,5
2024-02-26,107057.43757908506,5
2024-02-27,107044.80638103935,5
2024-02-28,107537.24881501566,5
2024-02-29,108079.58513050621,5
2024-03-01,115146.63192115005,4
2024-03-04,115800.31470880372,4
2024-03-05,113323.10783144322,5
2024-03-06,113839.81176412842,5
2024-03-07,115461.67021316184,5
2024-03-08,112981.32601510525,5
2024-03-11,111726.65738590356,4
2024-03-12,111643.32156529845,5
2024-03-13,113240.18605215437,4
2024-03-14,112681.38784507173,4
2024-03-15,113376.18870429925,4
2024-03-18,113450.83971568357,4
2024-03-19,114302.24497764613,5
2024-03-20,114657.99083604262,5
2024-03-21,115567.22022181062,5
2024-03-22,114456.96940489321,4
2024-03-25,114230.58647452081,4
2024-03-26,114234.38238376105,5
2024-03-27,114720.92224943334,5
2024-03-28,114610.41139750346,5
2024-04-01,115418.21274714293,5
2024-04-02,114625.7564023114,5
2024-04-03,118070.91595435477,5
2024-04-04,118098.37441245516,5
2024-04-05,120353.8345382677,5
2024-04-08,119465.01912158902,5
2024-04-09,118766.83495534665,5
2024-04-10,118842.46672916815,5
2024-04-11,119053.31210604281,5
2024-04-12,118120.1516374337,5
