date,equity,positions
2023-09-01,100000.0,0
2023-09-05,100000.0,0
2023-09-06,100000.0,0
2023-09-07,100000.0,0
2023-09-08,100000.0,0
2023-09-11,100000.0,0
2023-09-12,98377.82660146573,5
2023-09-13,97681.2483594377,4
2023-09-14,97764.1000275139,4
2023-09-15,95884.37669740603,4
2023-09-18,95641.45033476225,3
2023-09-19,95722.78352536152,5
2023-09-20,94899.52524017122,5
2023-09-21,92985.59732575956,3
2023-09-22,93270.82599150557,3
2023-09-25,93455.16596480133,3
2023-09-26,91146.21127932737,5
2023-09-27,91701.15297129631,4
2023-09-28,91981.86905684904,4
2023-09-29,91095.41156345728,4
2023-10-02,90068.59689561631,3
2023-10-03,89022.14084463919,5
2023-10-04,90694.57244137893,5
2023-10-05,90391.91025180345,4
2023-10-06,90878.8938181317,4
2023-10-09,91748.67963648078,4
2023-10-10,92265.12979074112,5
2023-10-11,92940.32546907732,5
2023-10-12,91853.61891814835,5
2023-10-13,90445.0911251411,5
2023-10-16,91884.96212252483,5
2023-10-17,92414.4376966661,5
2023-10-18,90211.12617039004,5
2023-10-19,88847.45221662523,4
2023-10-20,87762.31088389886,4
2023-10-23,87922.65007558344,3
2023-10-24,86328.35371895178,5
2023-10-25,85351.12911987491,4
2023-10-26,84501.82775942239,2
2023-10-27,83607.70434236403,1
2023-10-30,83746.7788129495,1
2023-10-31,84492.5623385803,5
2023-11-01,86175.6738922236,5
2023-11-02,86693.74783530681,5
2023-11-03,87871.11752726848,5
2023-11-06,88475.83384369202,5
2023-11-07,88193.84556471229,5
2023-11-08,88355.01177158747,5
2023-11-09,88289.77411485322,5
2023-11-10,89121.42547426111,5
2023-11-13,90054.5179832343,5
2023-11-14,91547.07371969474,5
2023-11-15,91362.07329033593,5
2023-11-16,91121.1504370593,5
2023-11-17,91224.41777496015,5
2023-11-20,91613.76736800994,5
2023-11-21,89974.96524272581,5
2023-11-22,91190.43005995733,5
2023-11-24,90729.84322547083,5
2023-11-27,91371.01227549197,5
2023-11-28,90999.70848648399,5
2023-11-29,90435.4839987627,5
2023-11-30,92035.564166541,5
2023-12-01,93169.6854331884,5
2023-12-04,93774.8751109917,5
2023-12-05,93814.18652397562,5
2023-12-06,92063.47367449985,5
2023-12-07,92849.48397353466,5
2023-12-08,93438.36384320755,5
2023-12-11,93932.97095596454,5
2023-12-12,95209.3017081952,5
2023-12-13,95374.14139729337,5
2023-12-14,93466.45664638949,5
2023-12-15,94034.56665506108,5
2023-12-18,94553.61063705223,5
2023-12-19,95898.31588379988,5
2023-12-20,94172.2604469798,5
2023-12-21,95606.13875568526,5
2023-12-22,95699.90698182968,5
2023-12-26,95942.81618141932,5
2023-12-27,96490.63170418343,5
2023-12-28,97245.6828917428,5
2023-12-29,96696.50746218691,5
2024-01-02,95438.08290830119,5
2024-01-03,95200.39457130767,5
2024-01-04,95299.28576688371,5
2024-01-05,96096.30867171132,5
2024-01-08,97928.48213990555,5
2024-01-09,97958.92950930308,5
2024-01-10,96911.60188957836,5
2024-01-11,97956.87780210214,5
2024-01-12,98334.5657643054,5
2024-01-16,99034.0340606698,5
2024-01-17,99318.4349351757,5
2024-01-18,99589.59069862236,5
2024-01-19,101626.73332787707,5
2024-01-22,101582.66066594038,5
2024-01-23,101857.91189086213,5
2024-01-24,100722.09489722516,5
2024-01-25,102304.4406223393,5
2024-01-26,101993.61032163033,5
2024-01-29,102115.74243837762,5
2024-01-30,103076.10435599818,5
2024-01-31,102491.03212854902,5
2024-02-01,105740.04365719884,5
2024-02-02,107254.90730269742,5
2024-02-05,106053.67336080146,5
2024-02-06,104950.36026863627,5
2024-02-07,106024.77936253764,5
2024-02-08,106320.58709038989,5
2024-02-09,107293.33617339768,5
2024-02-12,105922.84223161248,5
2024-02-13,106997.05184812385,5
2024-02-14,108261.29438979333,5
2024-02-15,108223.90284505098,5
2024-02-16,108491.8921801588,5
2024-02-20,108879.0563276197,5
2024-02-21,107313.50119794949,5
2024-02-22,110861.01814837377,5
2024-02-23,111665.30196237985,5
2024-02-26,113620.45151922975,5
2024-02-27,115210.73305925117,5
2024-02-28,116816.11618552843,5
2024-02-29,118116.22545588698,5
2024-03-01,119524.79784796813,5
2024-03-04,122355.19656511204,5
2024-03-05,122203.16143288623,5
2024-03-06,124999.30767353195,5
2024-03-07,125118.7320140114,5
2024-03-08,123390.740184072,5
2024-03-11,120517.99404117512,5
2024-03-12,124056.91565316675,5
2024-03-13,125352.40384229201,5
2024-03-14,126829.1002751387,5
2024-03-15,127110.20213064806,5
2024-03-18,129267.64841347162,5
2024-03-19,130861.23166033157,5
2024-03-20,133337.6334901508,5
2024-03-21,136207.90405863035,5
2024-03-22,136357.9668650479,5
2024-03-25,137651.9403529097,5
2024-03-26,134991.3147174221,5
2024-03-27,135167.608768594,5
2024-03-28,136921.7209393838,5
2024-04-01,137963.2355385905,5
2024-04-02,137189.58139696467,5
2024-04-03,141621.88255488928,5
2024-04-04,137490.09828508424,5
2024-04-05,143026.8124754033,5
2024-04-08,142404.2352098724,5
2024-04-09,138079.21242682243,5
2024-04-10,140215.05316147426,5
2024-04-11,141654.55575982964,5
2024-04-12,139322.58160413275,5
