ticker,action,entry_date,exit_date,entry,exit,shares,pnl_pct,half_sold,days
ETN,STOP,2023-09-12,2023-09-13,228.22375731627284,214.85,145.90943726271584,-5.859932144460956,False,1
WDAY,STOP,2023-09-12,2023-09-21,250.3000030517578,233.59,133.17352347950458,-6.67598995126758,False,9
BX,STOP,2023-09-19,2023-09-26,103.74332492974608,96.19,301.8634528612192,-7.280781616418331,False,7
DELL,STOP,2023-09-26,2023-09-27,66.52139050412126,64.52,445.2526633059768,-3.0086420156795524,False,1
LII,STOP,2023-09-12,2023-10-19,379.3685075368787,348.04,87.86531478260086,-8.258067529190793,False,37
FICO,STOP,2023-10-24,2023-10-25,927.1900024414062,845.1199951171875,32.09500310474898,-8.851476731642727,False,1
META,STOP,2023-10-03,2023-10-26,301.61135737230416,292.4319477072552,95.15068935886917,-3.043456236204678,False,23
NRG,HALF,2023-10-31,2023-11-16,40.0415237936399,46.00576189681995,356.4681014781343,14.895132697540836,False,16
CBOE,HALF,2023-10-31,2024-01-17,159.37616734097372,183.01808367048687,85.13942247526685,14.834034927526506,False,78
NRG,TARGET,2023-10-31,2024-01-29,40.0415237936399,51.97,356.4681014781343,29.790265395081672,True,90
UBER,HALF,2024-01-30,2024-02-14,66.9000015258789,76.98500076293945,238.9177979757207,15.074736931297927,False,15
CASY,HALF,2023-09-26,2024-03-22,273.2779281350602,315.19896406753014,55.73896927169438,15.340073828337708,False,178
UBER,STOP,2024-01-30,2024-04-30,66.9000015258789,66.9000015258789,238.9177979757207,0.0,True,91
CEG,HALF,2024-05-07,2024-05-23,195.74751686972849,224.46875843486424,88.51608271359896,14.672595609092687,False,16
CEG,STOP,2024-05-07,2024-06-04,195.74751686972849,195.74751686972849,88.51608271359896,0.0,True,28
CASY,TARGET,2023-09-26,2024-06-12,273.2779281350602,359.60388387482357,55.73896927169438,31.589069899966127,True,260
QCOM,STOP,2024-06-11,2024-06-26,197.43690404524963,188.45,177.99859045904054,-4.551785335526725,False,15
ORCL,STOP,2024-07-02,2024-07-30,139.16938099530515,133.55,255.51499425614082,-4.037799805615794,False,28
NTAP,STOP,2024-06-18,2024-08-05,121.1002840670504,109.6496311035016,304.0466108853106,-9.455512884849082,False,48
CBOE,TARGET,2023-10-31,2024-08-22,159.37616734097372,206.66,85.13942247526685,29.668069855053012,True,296
AXON,STOP,2024-08-27,2024-09-04,360.489990234375,349.68,98.03962339861768,-2.9986935912830193,False,8
IRM,HALF,2024-08-06,2024-09-24,98.56106092842342,112.9605304642117,173.8349061281913,14.609694132904472,False,49
HWM,HALF,2024-08-06,2024-09-26,87.9138049868552,100.0219024934276,194.888081308154,13.772691909288648,False,51
HWM,TARGET,2024-08-06,2024-11-06,87.9138049868552,112.13,194.888081308154,27.545383818577275,True,92
IRM,STOP,2024-08-06,2024-12-18,98.56106092842342,98.56106092842342,173.8349061281913,0.0,True,134
DECK,STOP,2024-12-24,2025-01-13,208.0500030517578,198.19,183.48240828334397,-4.7392467710297925,False,20
TPR,HALF,2025-01-14,2025-02-06,66.15323055185604,85.55558174228275,274.86423801235765,29.329408448492387,False,23
TPR,TARGET,2025-01-14,2025-02-06,66.15323055185604,85.55558174228275,274.86423801235765,29.329408448492387,True,23
WELL,HALF,2024-09-10,2025-02-12,123.72278251748354,141.93639125874176,138.40491788969115,14.721305462625223,False,155
APO,STOP,2024-11-12,2025-02-21,160.30242092731118,145.74,241.5264755581969,-9.084342484081676,False,101
FTNT,STOP,2025-02-11,2025-03-07,109.5,98.6,377.10224787576703,-9.954337899543386,False,24
MO,STOP,2025-03-11,2025-04-07,53.16819353942557,48.786900770923864,735.6929222444662,-8.24043939964383,False,27
PM,STOP,2025-04-08,2025-04-09,146.3097811110644,140.51,257.91158468675076,-3.9640419574285213,False,1
